AlexZapl: start('AlexZapl', 'Day', 13, '  ', '14:6:50')
О, работает!
vadim018x: start('vadim018x', 'Day 13', '15:17:58')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
vadim018x: start('vadim018x', 'Day 13', '15:17:59')
None: start('None', 'Day 13', '15:18:36')
Lliighting: len('Lliighting', 'Day 13', '15:18:47')Text: ['п', 'р', 'и', 'в', 'е', 'т']
None: commands('None', 'Day 13', '15:18:47')
None: commands('None', 'Day 13', '15:18:50')
None: animals 1('None', 'Day 13', '15:18:52')
None: animals 1('None', 'Day 13', '15:19:2')
None: info('None', 'Day 13', '15:19:7')
None: UNKNOWN('None', 'Day 13', '15:19:11')
None: story('None', 'Day 13', '15:19:15')
None: animals 1('None', 'Day 13', '15:19:49')
None: len('None', 'Day 13', '15:20:0')Text: []
None: roll('None', 'Day 13', '15:20:14')
None: animals 1('None', 'Day 13', '15:20:28')
None: len('None', 'Day 13', '15:20:36')Text: []
AKAKUG: start('AKAKUG', 'Day 13', '15:22:35')
Kir04ka_2: start('Kir04ka_2', 'Day 13', '15:22:39')
Kir04ka_2: commands('Kir04ka_2', 'Day 13', '15:22:42')
AKAKUG: story('AKAKUG', 'Day 13', '15:22:44')
Kir04ka_2: start('Kir04ka_2', 'Day 13', '15:22:46')
Kir04ka_2: info('Kir04ka_2', 'Day 13', '15:22:47')
Kir04ka_2: roll('Kir04ka_2', 'Day 13', '15:22:50')
AKAKUG: len('AKAKUG', 'Day 13', '15:22:53')Text: []
Kir04ka_2: UNKNOWN('Kir04ka_2', 'Day 13', '15:23:1')
AKAKUG: roll('AKAKUG', 'Day 13', '15:23:2')
Kir04ka_2: story('Kir04ka_2', 'Day 13', '15:23:7')
Kir04ka_2: animals 1('Kir04ka_2', 'Day 13', '15:23:13')
Kir04ka_2: joke('Kir04ka_2', 'Day 13', '15:23:19')
Banan_gam: start('Banan_gam', 'Day 13', '15:23:19')
Banan_gam: info('Banan_gam', 'Day 13', '15:23:26')
Banan_gam: anikdot/('Banan_gam', 'Day 13', '15:23:30')
Kir04ka_2: len('Kir04ka_2', 'Day 13', '15:23:40')Text: []
AKAKUG: anikdot/('AKAKUG', 'Day 13', '15:23:41')
Kir04ka_2: commands('Kir04ka_2', 'Day 13', '15:23:48')
M_a_r_i_n_a_46: start('M_a_r_i_n_a_46', 'Day 13', '15:25:56')
M_a_r_i_n_a_46: commands('M_a_r_i_n_a_46', 'Day 13', '15:26:0')
M_a_r_i_n_a_46: info('M_a_r_i_n_a_46', 'Day 13', '15:26:3')
M_a_r_i_n_a_46: commands('M_a_r_i_n_a_46', 'Day 13', '15:26:6')
M_a_r_i_n_a_46: start('M_a_r_i_n_a_46', 'Day 13', '15:26:8')
M_a_r_i_n_a_46: info('M_a_r_i_n_a_46', 'Day 13', '15:26:11')
M_a_r_i_n_a_46: roll('M_a_r_i_n_a_46', 'Day 13', '15:26:14')
M_a_r_i_n_a_46: story('M_a_r_i_n_a_46', 'Day 13', '15:26:21')
M_a_r_i_n_a_46: commands('M_a_r_i_n_a_46', 'Day 13', '15:26:27')
M_a_r_i_n_a_46: animals 1('M_a_r_i_n_a_46', 'Day 13', '15:26:28')
M_a_r_i_n_a_46: joke('M_a_r_i_n_a_46', 'Day 13', '15:26:39')
M_a_r_i_n_a_46: len('M_a_r_i_n_a_46', 'Day 13', '15:26:56')Text: []
M_a_r_i_n_a_46: commands('M_a_r_i_n_a_46', 'Day 13', '15:27:2')
RomaKhait: start('RomaKhait', 'Day 13', '15:28:7')
RomaKhait: animals 1('RomaKhait', 'Day 13', '15:28:31')
RomaKhait: info('RomaKhait', 'Day 13', '15:28:40')
RomaKhait: len('RomaKhait', 'Day 13', '15:28:55')Text: []
loaderH: start('loaderH', 'Day 13', '15:33:35')
loaderH: commands('loaderH', 'Day 13', '15:33:36')
loaderH: commands('loaderH', 'Day 13', '15:33:38')
loaderH: start('loaderH', 'Day 13', '15:33:41')
loaderH: info('loaderH', 'Day 13', '15:33:42')
loaderH: roll('loaderH', 'Day 13', '15:33:43')
DEN120k: start('DEN120k', 'Day 13', '15:46:16')
DEN120k: commands('DEN120k', 'Day 13', '15:46:33')
Banan_gam: animals 1('Banan_gam', 'Day 13', '15:46:52')
Banan_gam: animals 1('Banan_gam', 'Day 13', '15:46:58')
qw12er34ty56ui90: start('qw12er34ty56ui90', 'Day 13', '15:47:16')
Banan_gam: roll('Banan_gam', 'Day 13', '15:47:18')
None: start('None', 'Day 13', '15:50:53')
None: start('None', 'Day 13', '15:50:55')
None: start('None', 'Day 13', '15:51:5')
None: start('None', 'Day 13', '15:51:5')
None: commands('None', 'Day 13', '15:51:15')
None: commands('None', 'Day 13', '15:51:17')
None: UNKNOWN('None', 'Day 13', '15:51:21')
None: len('None', 'Day 13', '15:51:24')Text: []
None: start('None', 'Day 13', '15:51:28')
None: commands('None', 'Day 13', '15:51:32')
None: info('None', 'Day 13', '15:51:35')
None: roll('None', 'Day 13', '15:51:40')
None: UNKNOWN('None', 'Day 13', '15:51:46')
None: story('None', 'Day 13', '15:51:51')
None: animals 1('None', 'Day 13', '15:52:1')
None: joke('None', 'Day 13', '15:52:17')
None: len('None', 'Day 13', '15:52:37')Text: []
None: commands('None', 'Day 13', '15:52:42')
None: commands('None', 'Day 13', '15:52:46')
None: animals 1('None', 'Day 13', '15:52:50')
None: animals 1('None', 'Day 13', '15:52:58')
None: animals 1('None', 'Day 13', '15:53:2')
None: animals 1('None', 'Day 13', '15:53:5')
None: animals 1('None', 'Day 13', '15:53:24')
None: animals 1('None', 'Day 13', '15:53:31')
None: animals 1('None', 'Day 13', '15:53:36')
None: animals 1('None', 'Day 13', '15:54:8')
None: animals 1('None', 'Day 13', '15:54:16')
None: start('None', 'Day 13', '15:54:39')
None: commands('None', 'Day 13', '15:54:42')
None: start('None', 'Day 13', '15:54:46')
None: info('None', 'Day 13', '15:54:49')
None: roll('None', 'Day 13', '15:54:53')
None: UNKNOWN('None', 'Day 13', '15:56:57')
Pelicans1: start('Pelicans1', 'Day 13', '15:57:2')
None: story('None', 'Day 13', '15:57:3')
Pelicans1: commands('Pelicans1', 'Day 13', '15:57:9')
Pelicans1: start('Pelicans1', 'Day 13', '15:57:11')
Pelicans1: info('Pelicans1', 'Day 13', '15:57:15')
Pelicans1: roll('Pelicans1', 'Day 13', '15:57:18')
None: commands('None', 'Day 13', '15:59:42')
None: commands('None', 'Day 13', '15:59:45')
None: UNKNOWN('None', 'Day 13', '15:59:47')
